Date,Province,Cases
16 apr. 2020,Antwerpen,211
16 apr. 2020,BrabantWallon,41
16 apr. 2020,Brussels,191
16 apr. 2020,Hainaut,214
16 apr. 2020,Liège,137
16 apr. 2020,WestVlaanderen,183
16 apr. 2020,Limburg,126
16 apr. 2020,Luxembourg,102
16 apr. 2020,Namur,59
16 apr. 2020,OostVlaanderen,240
17 apr. 2020,WestVlaanderen,151
17 apr. 2020,Limburg,134
17 apr. 2020,VlaamsBrabant,116
17 apr. 2020,OostVlaanderen,171
17 apr. 2020,Namur,43
17 apr. 2020,Luxembourg,23
17 apr. 2020,Liège,215
17 apr. 2020,Hainaut,167
17 apr. 2020,Brussels,191
17 apr. 2020,BrabantWallon,30
17 apr. 2020,Antwerpen,110
18 apr. 2020,WestVlaanderen,56
18 apr. 2020,BrabantWallon,28
18 apr. 2020,Brussels,47
18 apr. 2020,Hainaut,218
18 apr. 2020,Liège,145
18 apr. 2020,Limburg,49
18 apr. 2020,Antwerpen,63
18 apr. 2020,Luxembourg,6
18 apr. 2020,Namur,22
18 apr. 2020,OostVlaanderen,41
18 apr. 2020,VlaamsBrabant,32
19 apr. 2020,Antwerpen,51
19 apr. 2020,BrabantWallon,17
19 apr. 2020,Brussels,36
19 apr. 2020,Hainaut,62
19 apr. 2020,Liège,93
19 apr. 2020,Limburg,29
19 apr. 2020,Luxembourg,8
19 apr. 2020,Namur,59
19 apr. 2020,OostVlaanderen,25
19 apr. 2020,VlaamsBrabant,23
19 apr. 2020,WestVlaanderen,33
20 apr. 2020,WestVlaanderen,132
20 apr. 2020,VlaamsBrabant,57
20 apr. 2020,OostVlaanderen,117
20 apr. 2020,Namur,78
20 apr. 2020,Luxembourg,11
20 apr. 2020,Liège,181
20 apr. 2020,Hainaut,166
20 apr. 2020,Brussels,151
20 apr. 2020,BrabantWallon,48
20 apr. 2020,Antwerpen,167
20 apr. 2020,Limburg,129
21 apr. 2020,Antwerpen,184
21 apr. 2020,BrabantWallon,32
21 apr. 2020,Brussels,115
21 apr. 2020,Hainaut,301
21 apr. 2020,Liège,119
21 apr. 2020,Limburg,77
21 apr. 2020,Luxembourg,25
21 apr. 2020,Namur,52
21 apr. 2020,OostVlaanderen,80
21 apr. 2020,VlaamsBrabant,105
21 apr. 2020,WestVlaanderen,150
22 apr. 2020,VlaamsBrabant,105
22 apr. 2020,Antwerpen,102
22 apr. 2020,BrabantWallon,52
22 apr. 2020,Brussels,64
22 apr. 2020,Hainaut,100
22 apr. 2020,Liège,83
22 apr. 2020,WestVlaanderen,79
22 apr. 2020,Limburg,56
22 apr. 2020,Luxembourg,15
22 apr. 2020,Namur,31
22 apr. 2020,OostVlaanderen,77
23 apr. 2020,WestVlaanderen,101
23 apr. 2020,Antwerpen,131
23 apr. 2020,BrabantWallon,16
23 apr. 2020,Brussels,90
23 apr. 2020,Hainaut,158
23 apr. 2020,Liège,214
23 apr. 2020,Luxembourg,16
23 apr. 2020,Namur,25
23 apr. 2020,OostVlaanderen,80
23 apr. 2020,VlaamsBrabant,61
23 apr. 2020,Limburg,64
24 apr. 2020,Antwerpen,83
24 apr. 2020,BrabantWallon,14
24 apr. 2020,Brussels,160
24 apr. 2020,Hainaut,70
24 apr. 2020,Liège,73
24 apr. 2020,Limburg,76
24 apr. 2020,Luxembourg,7
24 apr. 2020,Namur,60
24 apr. 2020,OostVlaanderen,83
24 apr. 2020,VlaamsBrabant,105
24 apr. 2020,WestVlaanderen,55
25 apr. 2020,VlaamsBrabant,20
25 apr. 2020,Antwerpen,36
25 apr. 2020,BrabantWallon,36
25 apr. 2020,Brussels,32
25 apr. 2020,Hainaut,43
25 apr. 2020,Liège,90
25 apr. 2020,WestVlaanderen,18
25 apr. 2020,Limburg,20
25 apr. 2020,Luxembourg,4
25 apr. 2020,Namur,42
25 apr. 2020,OostVlaanderen,40
26 apr. 2020,WestVlaanderen,18
26 apr. 2020,Limburg,23
26 apr. 2020,VlaamsBrabant,18
26 apr. 2020,OostVlaanderen,13
26 apr. 2020,Namur,11
26 apr. 2020,Luxembourg,2
26 apr. 2020,Liège,21
26 apr. 2020,Hainaut,37
26 apr. 2020,Brussels,13
26 apr. 2020,BrabantWallon,6
26 apr. 2020,Antwerpen,39
27 apr. 2020,Antwerpen,152
27 apr. 2020,BrabantWallon,13
27 apr. 2020,Brussels,88
27 apr. 2020,Hainaut,87
27 apr. 2020,Liège,46
27 apr. 2020,Luxembourg,12
27 apr. 2020,Namur,43
27 apr. 2020,OostVlaanderen,95
27 apr. 2020,VlaamsBrabant,72
27 apr. 2020,WestVlaanderen,71
27 apr. 2020,Limburg,59
28 apr. 2020,WestVlaanderen,55
28 apr. 2020,OostVlaanderen,85
28 apr. 2020,Namur,31
28 apr. 2020,Luxembourg,5
28 apr. 2020,Limburg,44
28 apr. 2020,Liège,58
28 apr. 2020,Hainaut,47
28 apr. 2020,VlaamsBrabant,56
28 apr. 2020,Brussels,41
28 apr. 2020,BrabantWallon,9
28 apr. 2020,Antwerpen,124
29 apr. 2020,WestVlaanderen,55
29 apr. 2020,Antwerpen,121
29 apr. 2020,VlaamsBrabant,30
29 apr. 2020,OostVlaanderen,51
29 apr. 2020,Namur,35
29 apr. 2020,Luxembourg,10
29 apr. 2020,Limburg,59
29 apr. 2020,Liège,43
29 apr. 2020,Hainaut,30
29 apr. 2020,Brussels,67
29 apr. 2020,BrabantWallon,9
30 apr. 2020,WestVlaanderen,55
30 apr. 2020,Antwerpen,173
30 apr. 2020,VlaamsBrabant,39
30 apr. 2020,OostVlaanderen,48
30 apr. 2020,Namur,21
30 apr. 2020,Luxembourg,2
30 apr. 2020,Limburg,46
30 apr. 2020,Liège,46
30 apr. 2020,Hainaut,68
30 apr. 2020,Brussels,62
30 apr. 2020,BrabantWallon,5
1 mei 2020,Antwerpen,71
1 mei 2020,BrabantWallon,1
1 mei 2020,Brussels,11
1 mei 2020,Hainaut,16
1 mei 2020,Liège,27
1 mei 2020,Luxembourg,9
1 mei 2020,Namur,8
1 mei 2020,OostVlaanderen,20
1 mei 2020,VlaamsBrabant,20
1 mei 2020,WestVlaanderen,25
1 mei 2020,Limburg,24
2 mei 2020,VlaamsBrabant,35
